2684 408 341
229 314 -1 0
225 314 -1 0
224 314 -1 0
221 314 -1 0
212 314 -1 0
202 314 -1 0
192 314 -1 0
180 314 -1 0
232 313 -1 0
231 313 -1 0
230 313 -1 0
229 313 -1 0
228 313 -1 0
227 313 -1 0
226 313 -1 0
225 313 -1 0
224 313 -1 0
223 313 -1 0
222 313 -1 0
221 313 -1 0
220 313 -1 0
219 313 -1 0
218 313 -1 0
215 313 -1 0
214 313 -1 0
213 313 -1 0
212 313 -1 0
211 313 -1 0
210 313 -1 0
209 313 -1 0
205 313 -1 0
204 313 -1 0
203 313 -1 0
202 313 -1 0
201 313 -1 0
200 313 -1 0
199 313 -1 0
195 313 -1 0
194 313 -1 0
193 313 -1 0
192 313 -1 0
191 313 -1 0
190 313 -1 0
189 313 -1 0
183 313 -1 0
182 313 -1 0
181 313 -1 0
180 313 -1 0
179 313 -1 0
178 313 -1 0
177 313 -1 0
173 313 -1 0
233 312 -1 0
232 312 -1 0
231 312 -1 0
230 312 -1 0
229 312 -1 0
228 312 -1 0
227 312 -1 0
226 312 -1 0
225 312 -1 0
224 312 -1 0
223 312 -1 0
222 312 -1 0
221 312 -1 0
220 312 -1 0
219 312 -1 0
218 312 -1 0
217 312 -1 0
216 312 -1 0
215 312 -1 0
214 312 -1 0
213 312 -1 0
212 312 -1 0
211 312 -1 0
210 312 -1 0
209 312 -1 0
208 312 -1 0
206 312 -1 0
205 312 -1 0
204 312 -1 0
203 312 -1 0
202 312 -1 0
201 312 -1 0
200 312 -1 0
199 312 -1 0
198 312 -1 0
196 312 -1 0
195 312 -1 0
194 312 -1 0
193 312 -1 0
192 312 -1 0
191 312 -1 0
190 312 -1 0
189 312 -1 0
188 312 -1 0
184 312 -1 0
183 312 -1 0
182 312 -1 0
181 312 -1 0
180 312 -1 0
179 312 -1 0
178 312 -1 0
177 312 -1 0
176 312 -1 0
175 312 -1 0
174 312 -1 0
173 312 -1 0
172 312 -1 0
171 312 -1 0
170 312 -1 0
235 311 -1 0
234 311 -1 0
233 311 -1 0
232 311 -1 0
231 311 -1 0
230 311 -1 0
229 311 -1 0
228 311 -1 0
227 311 -1 0
226 311 -1 0
225 311 -1 0
224 311 -1 0
223 311 -1 0
222 311 -1 0
221 311 -1 0
220 311 -1 0
219 311 -1 0
218 311 -1 0
217 311 -1 0
216 311 -1 0
215 311 -1 0
214 311 -1 0
213 311 -1 0
212 311 -1 0
211 311 -1 0
210 311 -1 0
209 311 -1 0
208 311 -1 0
206 311 -1 0
205 311 -1 0
204 311 -1 0
203 311 -1 0
202 311 -1 0
201 311 -1 0
200 311 -1 0
199 311 -1 0
198 311 -1 0
196 311 -1 0
195 311 -1 0
194 311 -1 0
193 311 -1 0
192 311 -1 0
191 311 -1 0
190 311 -1 0
189 311 -1 0
188 311 -1 0
184 311 -1 0
183 311 -1 0
182 311 -1 0
181 311 -1 0
180 311 -1 0
179 311 -1 0
178 311 -1 0
177 311 -1 0
176 311 -1 0
175 311 -1 0
174 311 -1 0
173 311 -1 0
172 311 -1 0
171 311 -1 0
170 311 -1 0
169 311 -1 0
236 310 -1 0
235 310 -1 0
234 310 -1 0
233 310 -1 0
232 310 -1 0
231 310 -1 0
230 310 -1 0
229 310 -1 0
228 310 -1 0
227 310 -1 0
226 310 -1 0
225 310 -1 0
224 310 -1 0
223 310 -1 0
222 310 -1 0
221 310 -1 0
220 310 -1 0
219 310 -1 0
218 310 -1 0
217 310 -1 0
216 310 -1 0
215 310 -1 0
214 310 -1 0
213 310 -1 0
212 310 -1 0
211 310 -1 0
210 310 -1 0
209 310 -1 0
208 310 -1 0
206 310 -1 0
205 310 -1 0
204 310 -1 0
203 310 -1 0
202 310 -1 0
201 310 -1 0
200 310 -1 0
199 310 -1 0
198 310 -1 0
196 310 -1 0
195 310 -1 0
194 310 -1 0
193 310 -1 0
192 310 -1 0
191 310 -1 0
190 310 -1 0
189 310 -1 0
188 310 -1 0
184 310 -1 0
183 310 -1 0
182 310 -1 0
181 310 -1 0
180 310 -1 0
179 310 -1 0
178 310 -1 0
177 310 -1 0
176 310 -1 0
175 310 -1 0
174 310 -1 0
173 310 -1 0
172 310 -1 0
171 310 -1 0
170 310 -1 0
169 310 -1 0
237 309 -1 0
236 309 -1 0
235 309 -1 0
234 309 -1 0
233 309 -1 0
232 309 -1 0
231 309 -1 0
230 309 -1 0
229 309 -1 0
228 309 -1 0
227 309 -1 0
226 309 -1 0
225 309 -1 0
224 309 -1 0
223 309 -1 0
222 309 -1 0
221 309 -1 0
220 309 -1 0
219 309 -1 0
218 309 -1 0
217 309 -1 0
216 309 -1 0
215 309 -1 0
214 309 -1 0
213 309 -1 0
212 309 -1 0
211 309 -1 0
210 309 -1 0
209 309 -1 0
208 309 -1 0
207 309 -1 0
206 309 -1 0
205 309 -1 0
204 309 -1 0
203 309 -1 0
202 309 -1 0
201 309 -1 0
200 309 -1 0
199 309 -1 0
198 309 -1 0
197 309 -1 0
196 309 -1 0
195 309 -1 0
194 309 -1 0
193 309 -1 0
192 309 -1 0
191 309 -1 0
190 309 -1 0
189 309 -1 0
188 309 -1 0
187 309 -1 0
185 309 -1 0
184 309 -1 0
183 309 -1 0
182 309 -1 0
181 309 -1 0
180 309 -1 0
179 309 -1 0
178 309 -1 0
177 309 -1 0
176 309 -1 0
175 309 -1 0
174 309 -1 0
173 309 -1 0
172 309 -1 0
171 309 -1 0
170 309 -1 0
169 309 -1 0
161 309 -1 0
238 308 -1 0
237 308 -1 0
236 308 -1 0
235 308 -1 0
234 308 -1 0
233 308 -1 0
232 308 -1 0
231 308 -1 0
230 308 -1 0
229 308 -1 0
228 308 -1 0
227 308 -1 0
226 308 -1 0
225 308 -1 0
224 308 -1 0
223 308 -1 0
222 308 -1 0
221 308 -1 0
220 308 -1 0
219 308 -1 0
218 308 -1 0
217 308 -1 0
216 308 -1 0
215 308 -1 0
214 308 -1 0
213 308 -1 0
212 308 -1 0
211 308 -1 0
210 308 -1 0
209 308 -1 0
208 308 -1 0
206 308 -1 0
205 308 -1 0
204 308 -1 0
203 308 -1 0
202 308 -1 0
201 308 -1 0
200 308 -1 0
199 308 -1 0
198 308 -1 0
196 308 -1 0
195 308 -1 0
194 308 -1 0
193 308 -1 0
192 308 -1 0
191 308 -1 0
190 308 -1 0
189 308 -1 0
188 308 -1 0
184 308 -1 0
183 308 -1 0
182 308 -1 0
181 308 -1 0
180 308 -1 0
179 308 -1 0
178 308 -1 0
177 308 -1 0
176 308 -1 0
175 308 -1 0
174 308 -1 0
173 308 -1 0
172 308 -1 0
171 308 -1 0
170 308 -1 0
169 308 -1 0
168 308 -1 0
164 308 -1 0
163 308 -1 0
162 308 -1 0
161 308 -1 0
160 308 -1 0
159 308 -1 0
158 308 -1 0
238 307 -1 0
237 307 -1 0
236 307 -1 0
235 307 -1 0
234 307 -1 0
233 307 -1 0
232 307 -1 0
231 307 -1 0
230 307 -1 0
229 307 -1 0
228 307 -1 0
227 307 -1 0
226 307 -1 0
225 307 -1 0
224 307 -1 0
223 307 -1 0
222 307 -1 0
221 307 -1 0
220 307 -1 0
219 307 -1 0
