2661 408 341
323 221 -1 0
322 221 -1 0
326 220 -1 0
325 220 -1 0
324 220 -1 0
323 220 -1 0
322 220 -1 0
321 220 -1 0
320 220 -1 0
319 220 -1 0
327 219 -1 0
326 219 -1 0
325 219 -1 0
324 219 -1 0
323 219 -1 0
322 219 -1 0
321 219 -1 0
320 219 -1 0
319 219 -1 0
318 219 -1 0
328 218 -1 0
327 218 -1 0
326 218 -1 0
325 218 -1 0
324 218 -1 0
323 218 -1 0
322 218 -1 0
321 218 -1 0
320 218 -1 0
319 218 -1 0
318 218 -1 0
329 217 -1 0
328 217 -1 0
327 217 -1 0
326 217 -1 0
325 217 -1 0
324 217 -1 0
323 217 -1 0
322 217 -1 0
321 217 -1 0
320 217 -1 0
319 217 -1 0
318 217 -1 0
329 216 -1 0
328 216 -1 0
327 216 -1 0
326 216 -1 0
325 216 -1 0
324 216 -1 0
323 216 -1 0
322 216 -1 0
321 216 -1 0
320 216 -1 0
319 216 -1 0
318 216 -1 0
317 216 -1 0
329 215 -1 0
328 215 -1 0
327 215 -1 0
326 215 -1 0
325 215 -1 0
324 215 -1 0
323 215 -1 0
322 215 -1 0
321 215 -1 0
320 215 -1 0
319 215 -1 0
318 215 -1 0
330 214 -1 0
329 214 -1 0
328 214 -1 0
327 214 -1 0
326 214 -1 0
325 214 -1 0
324 214 -1 0
323 214 -1 0
322 214 -1 0
321 214 -1 0
320 214 -1 0
319 214 -1 0
318 214 -1 0
330 213 -1 0
329 213 -1 0
328 213 -1 0
327 213 -1 0
326 213 -1 0
325 213 -1 0
324 213 -1 0
323 213 -1 0
322 213 -1 0
321 213 -1 0
320 213 -1 0
319 213 -1 0
318 213 -1 0
331 212 -1 0
330 212 -1 0
329 212 -1 0
328 212 -1 0
327 212 -1 0
326 212 -1 0
325 212 -1 0
324 212 -1 0
323 212 -1 0
322 212 -1 0
321 212 -1 0
320 212 -1 0
319 212 -1 0
331 211 -1 0
330 211 -1 0
329 211 -1 0
328 211 -1 0
327 211 -1 0
326 211 -1 0
325 211 -1 0
324 211 -1 0
323 211 -1 0
322 211 -1 0
321 211 -1 0
332 210 -1 0
331 210 -1 0
330 210 -1 0
329 210 -1 0
328 210 -1 0
327 210 -1 0
326 210 -1 0
325 210 -1 0
324 210 -1 0
323 210 -1 0
322 210 -1 0
321 210 -1 0
333 209 -1 0
332 209 -1 0
331 209 -1 0
330 209 -1 0
329 209 -1 0
328 209 -1 0
327 209 -1 0
326 209 -1 0
325 209 -1 0
324 209 -1 0
323 209 -1 0
322 209 -1 0
321 209 -1 0
333 208 -1 0
332 208 -1 0
331 208 -1 0
330 208 -1 0
329 208 -1 0
328 208 -1 0
327 208 -1 0
326 208 -1 0
325 208 -1 0
324 208 -1 0
323 208 -1 0
322 208 -1 0
200 208 -1 0
334 207 -1 0
333 207 -1 0
332 207 -1 0
331 207 -1 0
330 207 -1 0
329 207 -1 0
328 207 -1 0
327 207 -1 0
326 207 -1 0
325 207 -1 0
324 207 -1 0
323 207 -1 0
203 207 -1 0
202 207 -1 0
201 207 -1 0
200 207 -1 0
199 207 -1 0
198 207 -1 0
197 207 -1 0
335 206 -1 0
334 206 -1 0
333 206 -1 0
332 206 -1 0
331 206 -1 0
330 206 -1 0
329 206 -1 0
328 206 -1 0
327 206 -1 0
326 206 -1 0
325 206 -1 0
324 206 -1 0
323 206 -1 0
204 206 -1 0
203 206 -1 0
202 206 -1 0
201 206 -1 0
200 206 -1 0
199 206 -1 0
198 206 -1 0
197 206 -1 0
196 206 -1 0
336 205 -1 0
335 205 -1 0
334 205 -1 0
333 205 -1 0
332 205 -1 0
331 205 -1 0
330 205 -1 0
329 205 -1 0
328 205 -1 0
327 205 -1 0
326 205 -1 0
325 205 -1 0
324 205 -1 0
204 205 -1 0
203 205 -1 0
202 205 -1 0
201 205 -1 0
200 205 -1 0
199 205 -1 0
198 205 -1 0
197 205 -1 0
196 205 -1 0
336 204 -1 0
335 204 -1 0
334 204 -1 0
333 204 -1 0
332 204 -1 0
331 204 -1 0
330 204 -1 0
329 204 -1 0
328 204 -1 0
327 204 -1 0
326 204 -1 0
325 204 -1 0
204 204 -1 0
203 204 -1 0
202 204 -1 0
201 204 -1 0
200 204 -1 0
199 204 -1 0
198 204 -1 0
197 204 -1 0
196 204 -1 0
336 203 -1 0
335 203 -1 0
334 203 -1 0
333 203 -1 0
332 203 -1 0
331 203 -1 0
330 203 -1 0
329 203 -1 0
328 203 -1 0
327 203 -1 0
326 203 -1 0
325 203 -1 0
205 203 -1 0
204 203 -1 0
203 203 -1 0
202 203 -1 0
201 203 -1 0
200 203 -1 0
199 203 -1 0
198 203 -1 0
197 203 -1 0
196 203 -1 0
195 203 -1 0
337 202 -1 0
336 202 -1 0
